   	YYYYMM	PRODUCT_CODE	ITEM_CODE	PARENT_ITEM_CODE	DIVISION_CODE	COMPANY_CODE	TXN_TYPE	FROM_DIVISION_CODE	HS_CODE	REQ_QTY	INPUT_QTY	TOTAL_INPUT_QTY	INPUT_DATE	COST_EST_ROOT	ETC_CODE	ORG_FROM_DIVISION_CODE	ISLEAF_YN	PARENT_SUBCONTRACTING_TYPE	SUBCONTRACTING_TYPE	ATTRIBUTE01	ATTRIBUTE02	ATTRIBUTE03	ATTRIBUTE04	ATTRIBUTE05	CREATE_DATE	CREATE_BY	UPDATE_DATE	UPDATE_BY
75	202604	4120816AA	7720223AA	4120816AA	PLS101	PLS100	F	PLS101	401699	2.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
76	202604	4120816AA	7110025AA	4120816AA	PLS101	PLS100	F	PLS101	390120	3.9170000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
77	202604	4120816AA	7411165AB	4120816AA	PLS101	PLS100	F	PLS101	848130	1.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
78	202604	4120816AA	7320094AA	4120816AA	PLS101	PLS100	F	PLS101	392690	3.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
79	202604	4120816AA	7570214AA	4120816AA	PLS101	PLS100	F	PLS101	870899	1.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
80	202604	4120816AA	7710354AA	4120816AA	PLS101	PLS100	F	PLS101	401693	1.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
81	202604	4120816AA	7320092AA	4120816AA	PLS101	PLS100	F	PLS101	392690	7.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
82	202604	4120816AA	7210199AA	4120816AA	PLS101	PLS100	F	PLS101	392350	1.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
83	202604	4120816AA	7540244AA	4120816AA	PLS101	PLS100	F	PLS101	870899	1.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
84	202604	4120816AA	7720373AA	4120816AA	PLS101	PLS100	F	PLS101	400819	1.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
85	202604	4120816AA	7130019AA	4120816AA	PLS101	PLS100	F	PLS101	320417	4.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
86	202604	4120816AA	7330386AA	4120816AA	PLS101	PLS100	F	PLS101	392690	2.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
87	202604	4120816AA	7622698AA	4120816AA	PLS101	PLS100	F	PLS101	854430	1.0000000000			20260401		N		Y								2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC	2026-05-15  10:11:08	PKG01_IF_LOAD.FTA_BOM_PROC
